name,slug,automotive_category,is_active
Air Deflector,air-deflector,Accessories,TRUE
Alarm Systems,alarm-systems,Accessories,TRUE
Bed Mat,bed-mat,Accessories,TRUE
Bed Rail Cap,bed-rail-cap,Accessories,TRUE
Bed Rails,bed-rails,Accessories,TRUE
Bug Shield,bug-shield,Accessories,TRUE
Bull Bar,bull-bar,Accessories,TRUE
Camera system,camera-system,Accessories,TRUE
Car Bra,car-bra,Accessories,TRUE
Car Cover,car-cover,Accessories,TRUE
Car DVD,car-dvd,Accessories,TRUE
Car Radio,radio,Accessories,TRUE
Clutch Pilot Tool,clutch-pilot-tool,Accessories,TRUE
Connectors,connectors,Accessories,TRUE
Convertible Interior Cover,convertible-interior-cover,Accessories,TRUE
Dash Cover,dash-cover,Accessories,TRUE
Deck Cover,deck-cover,Accessories,TRUE
Hitch,hitch,Accessories,TRUE
Nerf Bars,nerf-bars,Accessories,TRUE
Pillar Cover,pillar-cover,Accessories,TRUE
Repair Manual,repair-manual,Accessories,TRUE
Running Boards,running-boards,Accessories,TRUE
Satellite Radio,satellite-radio,Accessories,TRUE
Seat Cover,seat-cover,Accessories,TRUE
Sound Dampening Material,sound-dampening-material,Accessories,TRUE
Speaker,speaker,Accessories,TRUE
Sun Shield,sun-shield,Accessories,TRUE
Third Brake Light Cover,third-brake-light-cover,Accessories,TRUE
Tonneau Cover,tonneau-cover,Accessories,TRUE
Trackers,trackers,Accessories,TRUE
Truck Cab Top Cover,truck-cab-top-cover,Accessories,TRUE
Undercarriage Cover,undercarriage-cover,Accessories,TRUE
Vent Visor,vent-visor,Accessories,TRUE
Winch,winch,Accessories,TRUE
Air Filter,air-filter,Air Intake,TRUE
Air Filter Wrap,air-filter-wrap,Air Intake,TRUE
Air Injection Pipe,air-injection-pipe,Air Intake,TRUE
Air Mass Meter,air-mass-meter,Air Intake,TRUE
Air Mass Sensor,air-mass-sensor,Air Intake,TRUE
Ambient Temp Sensor,ambient-temp-sensor,Air Intake,TRUE
Breather Hose,breather-hose,Air Intake,TRUE
Cold Air Intake,cold-air-intake,Air Intake,TRUE
